Dia,Data,1º (Prioridade),2º (Complemento),Terreno,Duração Total
1 (Seg),04/05,Corrida E (35'),Treino A (Core/Sup),Esteira (0%),~55-60 min
2 (Ter),05/05,Corrida E (50'),Treino B (Full Body),Rua (Hills),Sem limite
3 (Qua),06/05,Corrida E (35'),Treino A (Core/Sup),Esteira (0%),~55-60 min
4 (Qui),07/05,Corrida E (50') + Strides,Treino C (Full Body),Rua (Hills),Sem limite
5 (Sex),08/05,Corrida E (40'),Treino A (Core/Sup),Esteira (0%),~60 min
6 (Sáb),09/05,Corrida E (60'),Descanso Ativo,Rua (Hills),Sem limite
7 (Dom),10/05,Longo L (80'),Mobilidade Leve,Rua (Hills),Sem limite
8 (Seg),11/05,Caminhada ou Off,Treino A (Core/Sup),-,30-40 min
9 (Ter),12/05,Corrida E (55'),Treino B (Full Body),Rua (Hills),Sem limite
10 (Qua),13/05,Corrida E (40'),Treino A (Core/Sup),Esteira (0%),~60 min
